valence,energy,release_date,popularity
0.255,0.846,0.822581,0.43
0.433,0.688,0.927419,0.48
0.769,0.642,0.846774,0.3
0.896,0.835,0.766129,0.62
0.558,0.529,0.766129,0.47
0.811,0.772,0.596774,0.43
0.369,0.695,0.919355,0.67
0.704,0.584,0.951613,0.31
0.349,0.978,0.879032,0.4
0.363,0.948,0.669355,0.41
0.179,0.91,0.870968,0.21
0.072,0.693,0.870968,0.24
0.319,0.9,0.870968,0.31
0.479,0.693,0.959677,0.35
0.885,0.91,0.943548,0.45
0.219,0.92,0.790323,0.19
0.457,0.45,0.846774,0.42
0.657,0.782,0.677419,0.26
0.039,0.495,0.870968,0.07
0.748,0.764,0.685484,0.3
0.116,0.047,0.91129,0.58
0.434,0.802,0.943548,0.27
0.18,0.516,0.951613,0.35
0.619,0.519,0.790323,0.28
0.665,0.973,0.854839,0.2
0.66,0.616,0.903226,0.56
0.385,0.752,0.943548,0.44
0.933,0.878,0.637097,0.32
0.336,0.668,0.774194,0.41
0.534,0.543,0.927419,0.65
0.048,0.126,0.854839,0.11
0.192,0.872,0.83871,0.25
0.73,0.654,0.927419,0
0.63,0.775,0.91129,0.42
0.693,0.89,0.879032,0.18
0.552,0.637,0.91129,0.29
0.216,0.241,0.822581,0.28
0.203,0.984,0.959677,0.31
0.383,0.848,0.83871,0.48
0.183,0.913,0.935484,0.41
0.16,0.779,0.919355,0.61
0.259,0.994,0.653226,0.4
0.211,0.835,0.959677,0.18
0.487,0.354,0.548387,0.48
0.862,0.701,0.766129,0.2
0.451,0.432,0.66129,0.42
0.182,0.944,0.717742,0.22
0.306,0.875,0.935484,0.15
0.329,0.341,0.879032,0.21
0.27,0.843,0.895161,0.25
0.589,0.859,0.693548,0.41
0.263,0.581,0.951613,0.46
0.034,0.276,0.943548,0.24
0.14,0.599,0.814516,0.4
0.215,0.576,0.967742,0.28
0.44,0.791,0.959677,0.28
0.934,0.225,0.709677,0.25
0.454,0.62,0.951613,0.22
0.838,0.42,0.725806,0.54
0.064,0.483,0.903226,0.27
0.356,0.996,0.725806,0.23
0.193,0.572,0.959677,0.43
0.105,0.125,0.604839,0.4
0.394,0.819,0.967742,0.32
0.127,0.621,0.943548,0.22
0.16,0.162,0.903226,0.23
0.101,0.322,0.629032,0.26
0.17,0.462,0.91129,0.08
0.692,0.752,0.895161,0.31
0.35,0.672,0.91129,0.13
0.077,0.993,0.887097,0.24
0.557,0.971,0.919355,0.31
0.666,0.901,0.66129,0.68
0.04,0.394,0.814516,0.15
0.812,0.922,0.943548,0.37
0.058,0.951,0.959677,0.35
0.122,0.336,0.927419,0.24
0.196,0.892,0.870968,0.27
0.038,0.006,0.895161,0.36
0.898,0.871,0.814516,0.39
0.283,0.411,0.879032,0
0.574,0.388,0.548387,0.32
0.647,0.493,0.895161,0.26
0.474,0.904,0.870968,0.32
0.644,0.729,0.814516,0.14
0.123,0.826,0.91129,0.33
0.549,0.164,0.943548,0.42
0.7,0.789,0.959677,0.55
0.553,0.737,0.701613,0.35
0.128,0.537,0.959677,0.33
0.659,0.902,0.935484,0.34
0.328,0.063,0.572581,0.33
0.804,0.79,0.903226,0.07
0.316,0.798,0.919355,0.48
0.474,0.79,0.943548,0.39
0.243,0.979,0.75,0.2
0.647,0.827,0.959677,0.42
0.731,0.735,0.766129,0.33
0.857,0.706,0.596774,0.42
0.535,0.227,0.919355,0.5
0.108,0.812,0.782258,0.45
0.533,0.476,0.58871,0.32
0.327,0.832,0.943548,0.19
0.187,0.966,0.951613,0.17
0.293,0.759,0.782258,0.17
0.374,0.88,0.967742,0.24
0.401,0.803,0.951613,0.28
0.432,0.907,0.903226,0.1
0.208,0.432,0.879032,0.28
0.304,0.399,0.959677,0.23
0.223,0.576,0.919355,0.12
0.305,0.138,0.943548,0.35
0.561,0.886,0.822581,0.33
0.527,0.789,0.967742,0.57
0.305,0.547,0.83871,0.57
0.411,0.755,0.943548,0.1
0.885,0.452,0.822581,0.43
0.967,0.657,0.524194,0.51
0.039,0.261,0.959677,0.17
0.689,0.575,0.959677,0.43
0.204,0.989,0.935484,0.34
0.597,0.948,0.854839,0.53
0.325,0.755,0.870968,0.16
0.71,0.92,0.919355,0.2
0.779,0.582,0.919355,0.08
0.257,0.81,0.774194,0.2
0.289,0.729,0.951613,0.27
0.744,0.921,0.725806,0.5
0.635,0.795,0.854839,0.72
0.243,0.143,0.895161,0.42
0.243,0.768,0.717742,0.27
0.354,0.013,0.403226,0.58
0.342,0.204,0.725806,0.48
0.957,0.536,0.758065,0.61
0.592,0.647,0.951613,0.39
0.398,0.398,0.870968,0.4
0.327,0.794,0.951613,0.51
0.313,0.433,0.814516,0.25
0.181,0.155,0.91129,0.35
0.268,0.935,0.870968,0.32
0.483,0.695,0.846774,0.24
0.535,0.729,0.91129,0.45
0.503,0.989,0.895161,0.37
0.668,0.916,0.943548,0.31
0.59,0.603,0.887097,0.22
0.249,0.19,0.959677,0.54
0.205,0.508,0.653226,0.32
0.327,0.895,0.830645,0.55
0.114,0.587,0.879032,0.26
0.798,0.482,0.669355,0.26
0.89,0.743,0.91129,0.44
0.3,0.183,0.741935,0.13
0.578,0.795,0.927419,0.36
0.349,0.535,0.919355,0.33
0.866,0.705,0.645161,0.32
0.347,0.694,0.959677,0.06
0.122,0.532,0.951613,0.58
0.741,0.628,0.862903,0.13
0.192,0.961,0.830645,0.18
0.219,0.817,0.830645,0.2
0.547,0.803,0.919355,0.36
0.507,0.66,0.596774,0.23
0.764,0.627,0.725806,0.47
0.978,0.522,0.733871,0.35
0.964,0.928,0.935484,0.22
0.426,0.821,0.951613,0.37
0.294,0.963,0.919355,0.56
0.038,0.107,0.854839,0.39
0.221,0.432,0.572581,0.36
0.475,0.474,0.766129,0.29
0.558,0.731,0.814516,0.63
0.097,0.57,0.967742,0.51
0.43,0.729,0.782258,0.2
0.516,0.706,0.951613,0.42
0.03,0.123,0.927419,0.49
0.04,0.959,0.943548,0.39
0.285,0.856,0.959677,0.64
0.568,0.83,0.959677,0.55
0.061,0.082,0.83871,0.09
0.719,0.842,0.927419,0.27
0.378,0.577,0.741935,0.25
0.075,0.191,0.903226,0.12
0.541,0.294,0.927419,0.34
0.774,0.405,0.854839,0.53
0.676,0.75,0.935484,0.46
0.094,0.544,0.919355,0.34
0.775,0.647,0.653226,0.54
0.461,0.868,0.798387,0.23
0.292,0.447,0.693548,0.65
0.424,0.771,0.959677,0.38
0.855,0.884,0.927419,0.34
0.54,0.804,0.862903,0.38
0.57,0.599,0.774194,0.5
0.405,0.683,0.959677,0.41
0.363,0.527,0.967742,0.3
0.566,0.978,0.862903,0.47
0.383,0.738,0.91129,0.55
0.426,0.976,0.862903,0.56
0.206,0.988,0.741935,0.3
0.615,0.74,0.774194,0.55
0.119,0.462,0.685484,0.26
0.134,0.355,0.967742,0.21
0.712,0.641,0.806452,0.42
0.233,0.19,0.709677,0.51
0.248,0.544,0.887097,0.27
0.344,0.614,0.943548,0.37
0.583,0.873,0.532258,0.51
0.512,0.88,0.620968,0.25
0.541,0.73,0.919355,0.17
0.718,0.782,0.854839,0.43
0.299,0.455,0.814516,0.21
0.04,0.42,0.959677,0.21
0.113,0.419,0.830645,0.21
0.559,0.645,0.959677,0.59
0.517,0.843,0.846774,0.34
0.346,0.655,0.927419,0.64
0.821,0.962,0.91129,0.2
0.308,0.938,0.862903,0.57
0.101,0.197,0.935484,0.4
0.341,0.612,0.943548,0.61
0.386,0.506,0.58871,0.37
0.037,0.006,0.854839,0.26
0.35,0.913,0.943548,0.38
0.552,0.454,0.790323,0.38
0.148,0.357,0.758065,0.13
0.249,0.256,0.919355,0.45
0.26,0.973,0.887097,0.41
0.339,0.927,0.862903,0.43
0.675,0.84,0.919355,0.47
0.668,0.885,0.919355,0.24
0.403,0.466,0.758065,0.57
0.271,0.07,0.806452,0.2
0.233,0.651,0.596774,0.27
0.501,0.98,0.854839,0.28
0.706,0.705,0.943548,0.27
0.701,0.829,0.951613,0.45
0.04,0.313,0.806452,0.21
0.256,0.54,0.774194,0.26
0.179,0.465,0.927419,0.17
0.382,0.906,0.943548,0.42
0.757,0.72,0.951613,0.48
0.187,0.386,0.862903,0.36
0.916,0.787,0.903226,0.51
0.581,0.911,0.959677,0.47
0.176,0.971,0.943548,0.34
0.346,0.932,0.91129,0.37
0.699,0.787,0.903226,0.63
0.456,0.11,0.959677,0.36
0.449,0.566,0.943548,0.7
0.409,0.975,0.943548,0.51
0.247,0.757,0.935484,0.23
0.822,0.6,0.854839,0.73
0.715,0.893,0.91129,0.21
0.526,0.947,0.758065,0.24
0.302,0.92,0.91129,0.25
0.367,0.499,0.758065,0.61
0.934,0.772,0.943548,0.44
0.038,0.688,0.935484,0.33
0.071,0.438,0.830645,0.37
0.514,0.713,0.879032,0.63
0.739,0.772,0.870968,0.11
0.119,0.553,0.564516,0.14
0.404,0.436,0.895161,0.33
0.898,0.95,0.903226,0.3
0.865,0.46,0.959677,0.53
0.442,0.026,0.725806,0.37
0.741,0.667,0.766129,0.13
0.629,0.875,0.862903,0.45
0.449,0.833,0.927419,0.51
0.539,0.67,0.879032,0.22
0.308,0.488,0.959677,0.34
0.487,0.491,0.967742,0.21
0.311,0.932,0.83871,0.41
0.861,0.838,0.645161,0.26
0.912,0.884,0.967742,0.46
0.794,0.741,0.862903,0.36
0.666,0.666,0.967742,0.46
0.964,0.75,0.903226,0.56
0.675,0.739,0.822581,0.5
0.224,0.666,0.927419,0.14
0.794,0.879,0.822581,0.37
0.945,0.826,0.645161,0.74
0.876,0.825,0.709677,0.23
0.564,0.782,0.645161,0.44
0.609,0.185,0.959677,0.49
0.603,0.868,0.870968,0.36
0.809,0.867,0.637097,0.62
0.66,0.779,0.774194,0.41
0.183,0.567,0.903226,0.47
0.257,0.354,0.83871,0.27
0.714,0.503,0.629032,0.2
0.259,0.881,0.814516,0.56
0.414,0.339,0.895161,0.25
0.475,0.886,0.862903,0
0.149,0.283,0.919355,0.29
0.197,0.842,0.919355,0
0.405,0.413,0.967742,0.43
0.333,0.889,0.927419,0.65
0.246,0.66,0.959677,0.39
0.658,0.758,0.91129,0.34
0.081,0.274,0.927419,0.35
0.32,0.779,0.895161,0.46
0.375,0.84,0.758065,0.26
0.761,0.73,0.854839,0.51
0.673,0.808,0.943548,0.26
0.943,0.729,0.814516,0.29
0.21,0.398,0.951613,0.24
0.881,0.735,0.790323,0.05
0.619,0.759,0.733871,0.58
0.382,0.727,0.709677,0.39
0.343,0.593,0.91129,0.36
0.045,0.997,0.895161,0.22
0.52,0.392,0.637097,0.63
0.611,0.848,0.774194,0.44
0.566,0.781,0.91129,0.15
0.962,0.864,0.951613,0.11
0.66,0.588,0.629032,0.38
0.407,0.593,0.959677,0.51
0.498,0.935,0.951613,0.31
0.349,0.561,0.943548,0.32
0.81,0.716,0.532258,0.24
0.654,0.861,0.895161,0.73
0.266,0.967,0.830645,0.52
0.503,0.582,0.725806,0.37
0.03,0.985,0.959677,0.23
0.568,0.743,0.83871,0.06
0.254,0.519,0.862903,0.54
0.751,0.742,0.532258,0.64
0.385,0.897,0.879032,0.3
0.482,0.317,0.951613,0.47
0.254,0.967,0.951613,0.54
0.492,0.881,0.951613,0.44
0.412,0.925,0.951613,0.52
0.648,0.661,0.959677,0.55
0.481,0.942,0.733871,0.35
0.578,0.533,0.927419,0.39
0.236,0.44,0.959677,0.58
0.335,0.984,0.822581,0.35
0.452,0.784,0.935484,0.43
0.35,0.823,0.959677,0.53
0.63,0.797,0.846774,0.53
0.302,0.682,0.83871,0.15
0.484,0.973,0.629032,0.33
0.246,0.601,0.870968,0.25
0.962,0.709,0.782258,0.62
0.437,0.664,0.927419,0.71
0.598,0.655,0.951613,0.58
0.805,0.847,0.935484,0.54
0.313,0.978,0.951613,0.31
0.582,0.789,0.564516,0.26
0.122,0.775,0.919355,0.25
0.273,0.457,0.943548,0.28
0.565,0.739,0.830645,0.18
0.632,0.524,0.91129,0.21
0.456,0.952,0.951613,0.46
0.389,0.705,0.959677,0.38
0.823,0.461,0.862903,0.3
0.656,0.75,0.919355,0.48
0.277,0.775,0.862903,0.35
0.512,0.48,0.758065,0.42
0.903,0.938,0.903226,0.44
0.436,0.469,0.967742,0.16
0.083,0.429,0.919355,0.31
0.47,0.205,0.806452,0.25
0.165,0.539,0.967742,0.5
0.957,0.796,0.846774,0.12
0.436,0.304,0.967742,0.29
0.107,0.347,0.919355,0.34
0.125,0.492,0.935484,0.31
0.231,0.396,0.701613,0.32
0.866,0.757,0.903226,0.43
0.779,0.848,0.58871,0.49
0.308,0.861,0.91129,0.51
0.038,0.48,0.943548,0.19
0.587,0.717,0.91129,0.34
0.447,0.973,0.83871,0.11
0.673,0.926,0.959677,0.52
0.83,0.885,0.854839,0.3
0.315,0.954,0.846774,0.44
0.517,0.746,0.967742,0.21
0.38,0.873,0.951613,0.39
0.262,0.539,0.919355,0.4
0.478,0.812,0.806452,0.16
0.185,0.304,0.645161,0.09
0.613,0.613,0.919355,0.48
0.097,0.377,0.959677,0.31
0.6,0.955,0.806452,0.42
0.412,0.576,0.895161,0.19
0.67,0.984,0.83871,0.26
0.267,0.489,0.951613,0.67
0.728,0.855,0.693548,0.44
0.706,0.802,0.959677,0.32
0.358,0.781,0.870968,0.51
0.502,0.807,0.862903,0.21
0.531,0.691,0.951613,0.46
0.234,0.534,0.951613,0.45
0.11,0.255,0.879032,0.29
0.608,0.788,0.693548,0.19
0.426,0.726,0.733871,0.61
0.337,0.991,0.943548,0.36
0.408,0.966,0.951613,0.37
0.327,0.479,0.895161,0.14
0.04,0.225,0.919355,0.31
0.489,0.657,0.935484,0.7
0.04,0.736,0.862903,0.34
0.729,0.767,0.854839,0.45
0.179,0.926,0.895161,0.22
0.075,0.25,0.959677,0.16
0.127,0.844,0.895161,0.14
0.862,0.505,0.556452,0.44
0.731,0.564,0.887097,0.16
0.392,0.771,0.903226,0.41
0.258,0.562,0.919355,0.47
0.865,0.934,0.887097,0.17
0.6,0.948,0.709677,0.57
0.145,0.6,0.822581,0.11
0.359,0.947,0.693548,0.46
0.772,0.768,0.58871,0.71
0.838,0.84,0.91129,0.22
0.12,0.466,0.951613,0.09
0.415,0.889,0.830645,0.11
0.624,0.578,0.919355,0.27
0.08,0.457,0.959677,0.44
0.126,0.938,0.959677,0.43
0.788,0.876,0.959677,0.17
0.415,0.722,0.959677,0.31
0.626,0.903,0.935484,0.37
0.372,0.678,0.862903,0.36
0.479,0.907,0.943548,0.21
0.054,0.931,0.959677,0.29
0.359,0.65,0.782258,0.27
0.289,0.645,0.935484,0.3
0.317,0.776,0.927419,0.29
0.094,0.664,0.927419,0.46
0.734,0.557,0.91129,0.44
0.086,0.736,0.919355,0.28
0.132,0.93,0.927419,0.56
0.037,0.324,0.903226,0.15
0.54,0.723,0.951613,0.26
0.184,0.511,0.919355,0.1
0.212,0.572,0.854839,0.16
0.483,0.779,0.524194,0.46
0.439,0.979,0.91129,0.29
0.339,0.94,0.862903,0.39
0.514,0.168,0.580645,0.2
0.779,0.788,0.66129,0.46
0.321,0.078,0.879032,0.18
0.04,0.1,0.959677,0.14
0.197,0.696,0.766129,0.22
0.252,0.666,0.935484,0.44
0.444,0.927,0.903226,0.33
0.525,0.829,0.91129,0.26
0.279,0.863,0.959677,0.35
0.714,0.633,0.927419,0.43
0.25,0.479,0.967742,0.45
0.431,0.487,0.959677,0.4
0.7,0.83,0.798387,0.35
0.281,0.062,0.91129,0.23
0.395,0.951,0.959677,0.46
0.489,0.649,0.887097,0.75
0.105,0.763,0.943548,0.15
0.327,0.984,0.846774,0.36
0.257,0.282,0.959677,0.43
0.174,0.512,0.879032,0.23
0.442,0.783,0.870968,0.59
0.499,0.058,0.927419,0.22
0.76,0.89,0.709677,0.19
0.623,0.421,0.895161,0.44
0.306,0.938,0.927419,0.46
0.482,0.442,0.943548,0.44
0.279,0.222,0.604839,0.38
0.239,0.381,0.903226,0.17
0.872,0.849,0.935484,0.43
0.563,0.701,0.475806,0.47
0.896,0.829,0.887097,0.25
0.732,0.588,0.572581,0.43
0.176,0.806,0.943548,0.16
0.528,0.832,0.967742,0.51
0.487,0.251,0.879032,0.26
0.396,0.459,0.879032,0.32
0.515,0.727,0.806452,0.35
0.616,0.946,0.943548,0.36
0.667,0.734,0.903226,0.24
0.034,0.333,0.935484,0.17
0.184,0.731,0.798387,0.11
0.637,0.719,0.943548,0.55
0.625,0.356,0.959677,0.5
0.129,0.856,0.782258,0.35
0.937,0.699,0.645161,0.36
0.142,0.712,0.951613,0.2
0.264,0.666,0.895161,0.37
0.79,0.846,0.959677,0.39
0.482,0.147,0.959677,0.56
0.259,0.93,0.887097,0.43
0.271,0.908,0.943548,0.44
0.287,0.954,0.903226,0.41
0.199,0.774,0.830645,0.4
0.107,0.378,0.91129,0.27
0.21,0.959,0.943548,0.31
0.367,0.926,0.967742,0.31
0.556,0.613,0.959677,0.2
0.281,0.673,0.959677,0.29
0.566,0.892,0.870968,0.33
0.242,0.122,0.919355,0.41
0.308,0.349,0.822581,0.2
0.06,0.602,0.790323,0.28
0.399,0.372,0.879032,0.24
0.441,0.241,0.927419,0.45
0.566,0.549,0.66129,0.43
0.679,0.969,0.935484,0.31
0.699,0.49,0.919355,0.33
0.228,0.25,0.459677,0.25
0.418,0.986,0.91129,0.33
0.068,0.456,0.846774,0.43
0.335,0.733,0.83871,0.37
0.179,0.699,0.951613,0.36
0.575,0.823,0.879032,0.32
0.178,0.956,0.814516,0.15
0.375,0.792,0.806452,0.46
0.406,0.934,0.879032,0.28
0.138,0.882,0.870968,0.26
0.639,0.602,0.733871,0.42
0.589,0.803,0.782258,0.57
0.409,0.806,0.895161,0.53
0.835,0.352,0.967742,0.22
0.286,0.782,0.854839,0.23
0.392,0.965,0.919355,0.52
0.665,0.952,0.798387,0.57
0.562,0.721,0.532258,0.68
0.399,0.766,0.733871,0.39
0.831,0.656,0.629032,0.54
0.868,0.872,0.91129,0.44
0.618,0.87,0.895161,0.41
0.522,0.947,0.959677,0.42
0.355,0.457,0.862903,0.63
0.427,0.855,0.903226,0.12
0.205,0.955,0.854839,0.39
0.733,0.687,0.645161,0.21
0.255,0.969,0.725806,0.25
0.658,0.858,0.91129,0.23
0.149,0.655,0.766129,0.47
0.597,0.94,0.935484,0.4
0.585,0.832,0.75,0.68
0.477,0.866,0.887097,0.24
0.84,0.628,0.887097,0.37
0.424,0.827,0.822581,0.32
0.461,0.733,0.895161,0.4
0.25,0.496,0.959677,0.36
0.342,0.884,0.959677,0.39
0.704,0.794,0.693548,0.38
0.361,0.53,0.766129,0.13
0.573,0.623,0.943548,0.11
0.07,0.212,0.903226,0.14
0.918,0.955,0.806452,0.49
0.676,0.898,0.870968,0.22
0.144,0.34,0.766129,0.52
0.273,0.724,0.895161,0.23
0.655,0.799,0.935484,0.23
0.574,0.566,0.903226,0.27
0.039,0.938,0.685484,0.27
0.149,0.988,0.733871,0.57
0.296,0.193,0.959677,0.19
0.464,0.971,0.725806,0.45
0.587,0.53,0.629032,0.35
0.06,0.303,0.927419,0.07
0.341,0.736,0.919355,0.22
0.347,0.121,0.935484,0.46
0.79,0.702,0.75,0.28
0.436,0.911,0.822581,0.49
0.286,0.663,0.919355,0.75
0.804,0.532,0.887097,0.15
0.284,0.798,0.943548,0.22
0.697,0.747,0.895161,0.39
0.298,0.962,0.895161,0.47
0.227,0.477,0.717742,0.37
0.805,0.883,0.653226,0.45
0.312,0.804,0.774194,0.34
0.606,0.394,0.903226,0.47
0.109,0.387,0.943548,0.25
0.67,0.718,0.879032,0.31
0.174,0.547,0.774194,0.34
0.571,0.834,0.951613,0.48
0.698,0.606,0.967742,0.41
0.874,0.792,0.951613,0.55
0.752,0.665,0.709677,0.29
0.764,0.879,0.959677,0.39
0.37,0.746,0.927419,0.18
0.421,0.747,0.959677,0.58
0.923,0.958,0.895161,0.28
0.699,0.924,0.846774,0.5
0.183,0.799,0.967742,0.33
0.204,0.932,0.798387,0.13
0.204,0.517,0.887097,0.56
0.034,0.995,0.766129,0.24
0.411,0.747,0.951613,0.2
0.542,0.941,0.879032,0.58
0.079,0.337,0.951613,0.04
0.104,0.265,0.846774,0.35
0.283,0.376,0.733871,0.17
0.156,0.707,0.943548,0.41
0.867,0.866,0.943548,0.22
0.74,0.807,0.693548,0.31
0.279,0.976,0.903226,0.22
0.379,0.395,0.870968,0.25
0.857,0.62,0.556452,0.4
0.601,0.826,0.967742,0.61
0.347,0.789,0.951613,0.45
0.509,0.796,0.814516,0.39
0.088,0.866,0.919355,0.27
0.42,0.76,0.854839,0.2
0.231,0.622,0.830645,0.53
0.074,0.359,0.879032,0.16
0.442,0.951,0.83871,0.61
0.37,0.579,0.943548,0.37
0.496,0.878,0.830645,0.5
0.489,0.534,0.959677,0.32
0.884,0.538,0.887097,0.06
0.074,0.5,0.854839,0.25
0.222,0.533,0.919355,0.35
0.588,0.849,0.951613,0.15
0.288,0.944,0.701613,0.36
0.302,0.826,0.83871,0.47
0.543,0.945,0.774194,0.17
0.973,0.87,0.758065,0.48
0.949,0.687,0.887097,0.51
0.617,0.864,0.717742,0.51
0.914,0.892,0.903226,0.4
0.142,0.205,0.91129,0.3
0.347,0.518,0.887097,0.06
0.085,0.95,0.959677,0.38
0.12,0.22,0.564516,0.19
0.38,0.965,0.927419,0.36
0.786,0.582,0.653226,0.36
0.853,0.741,0.830645,0.24
0.282,0.928,0.830645,0.24
0.758,0.914,0.879032,0.46
0.372,0.666,0.66129,0.37
0.264,0.981,0.943548,0.45
0.643,0.898,0.91129,0.17
0.146,0.812,0.887097,0.23
0.345,0.639,0.887097,0.34
0.361,0.484,0.959677,0.36
0.533,0.871,0.822581,0.54
0.585,0.957,0.830645,0.25
0.626,0.841,0.959677,0.31
0.505,0.084,0.580645,0.43
0.351,0.818,0.919355,0.4
0.805,0.322,0.927419,0.46
0.058,0.539,0.91129,0.17
0.352,0.738,0.830645,0.52
0.967,0.904,0.870968,0.32
0.493,0.42,0.524194,0.63
0.451,0.19,0.887097,0.29
0.614,0.889,0.927419,0.36
0.521,0.637,0.951613,0.52
0.172,0.494,0.967742,0.51
0.468,0.243,0.516129,0.61
0.318,0.486,0.959677,0.6
0.142,0.253,0.83871,0.29
0.077,0.72,0.959677,0.45
0.414,0.874,0.717742,0.66
0.265,0.819,0.806452,0.56
0.437,0.704,0.903226,0.48
0.04,0.323,0.935484,0.28
0.348,0.798,0.919355,0.4
0.798,0.779,0.919355,0.35
0.204,0.867,0.959677,0.26
0.047,0.931,0.951613,0.12
0.216,0.87,0.927419,0.23
0.449,0.945,0.733871,0.37
0.379,0.532,0.943548,0.45
0.747,0.621,0.959677,0.59
0.458,0.521,0.927419,0.78
0.039,0.919,0.895161,0.03
0.328,0.37,0.806452,0.47
0.167,0.274,0.556452,0.4
0.675,0.875,0.83871,0.49
0.495,0.769,0.766129,0.59
0.361,0.723,0.959677,0.13
0.71,0.707,0.895161,0.27
0.674,0.819,0.959677,0.29
0.319,0.074,0.653226,0.45
0.075,0.54,0.903226,0.33
0.133,0.599,0.959677,0.3
0.212,0.662,0.951613,0.31
0.65,0.858,0.758065,0.38
0.22,0.871,0.83871,0.17
0.236,0.557,0.951613,0.5
0.456,0.862,0.887097,0.36
0.268,0.5,0.879032,0.37
0.421,0.69,0.943548,0.38
0.893,0.528,0.943548,0.45
0.848,0.957,0.895161,0.45
0.659,0.913,0.959677,0.31
0.692,0.313,0.725806,0.2
0.526,0.427,0.870968,0.55
0.188,0.473,0.935484,0.11
0.338,0.976,0.967742,0.45
0.423,0.498,0.782258,0.49
0.857,0.857,0.758065,0.25
0.489,0.872,0.903226,0.22
0.458,0.771,0.903226,0.21
0.315,0.923,0.935484,0.42
0.327,0.475,0.951613,0.28
0.228,0.549,0.959677,0.48
0.327,0.867,0.854839,0.05
0.605,0.309,0.572581,0.31
0.22,0.715,0.701613,0.41
0.487,0.746,0.572581,0.44
0.715,0.866,0.870968,0.22
0.339,0.744,0.677419,0.12
0.225,0.982,0.959677,0.23
0.724,0.792,0.959677,0.31
0.713,0.714,0.685484,0.17
0.393,0.379,0.927419,0.3
0.659,0.659,0.959677,0.43
0.461,0.973,0.943548,0.31
0.389,0.956,0.903226,0.41
0.228,0.874,0.927419,0.28
0.234,0.962,0.806452,0.19
0.751,0.867,0.903226,0.39
0.2,0.917,0.895161,0.27
0.217,0.355,0.919355,0.16
0.038,0.712,0.951613,0.58
0.133,0.724,0.919355,0.23
0.294,0.778,0.967742,0.61
0.744,0.271,0.645161,0.36
0.606,0.604,0.709677,0.26
0.256,0.142,0.887097,0.2
0.483,0.782,0.879032,0.18
0.424,0.585,0.887097,0.36
0.481,0.745,0.887097,0.3
0.133,0.699,0.951613,0.46
0.313,0.775,0.798387,0.11
0.665,0.962,0.862903,0.29
0.062,0.716,0.629032,0.5
0.47,0.752,0.637097,0.23
0.494,0.629,0.935484,0.3
0.223,0.58,0.951613,0.26
0.804,0.837,0.91129,0.26
0.174,0.457,0.879032,0.29
0.712,0.85,0.959677,0.61
0.142,0.994,0.846774,0.32
0.421,0.575,0.927419,0.25
0.075,0.941,0.959677,0.14
0.501,0.949,0.959677,0.53
0.715,0.685,0.935484,0.25
0.663,0.768,0.903226,0.21
0.231,0.987,0.870968,0.28
0.038,0.757,0.927419,0.1
0.118,0.948,0.935484,0.29
0.434,0.94,0.653226,0.25
0.613,0.467,0.943548,0.31
0.17,0.745,0.862903,0.38
0.288,0.369,0.959677,0.38
0.84,0.642,0.725806,0.21
0.149,0.562,0.830645,0.48
0.403,0.787,0.91129,0.31
0.231,0.28,0.596774,0.33
0.309,0.927,0.895161,0.13
0.193,0.547,0.58871,0.28
0.413,0.564,0.951613,0.59
0.029,0.858,0.887097,0.15
0.417,0.76,0.927419,0.47
0.074,0.12,0.919355,0.5
0.538,0.405,0.556452,0.32
0.686,0.804,0.814516,0.22
0.541,0.631,0.943548,0.63
0.632,0.823,0.887097,0.42
0.108,0.607,0.967742,0.26
0.547,0.878,0.854839,0.28
0.053,0.211,0.887097,0.28
0.702,0.662,0.653226,0.33
0.601,0.853,0.782258,0.31
0.424,0.026,0.580645,0.38
0.82,0.797,0.927419,0.06
0.417,0.277,0.66129,0.21
0.497,0.579,0.540323,0.33
0.365,0.984,0.814516,0.25
0.794,0.791,0.693548,0.35
0.931,0.896,0.943548,0.38
0.568,0.83,0.814516,0.39
0.824,0.808,0.830645,0.36
0.116,0.372,0.879032,0.44
0.036,0.231,0.822581,0.26
0.977,0.917,0.83871,0.51
0.053,0.38,0.959677,0.2
0.835,0.94,0.790323,0.56
0.936,0.964,0.959677,0.48
0.64,0.805,0.903226,0.15
0.577,0.923,0.66129,0.49
0.119,0.967,0.927419,0.27
0.575,0.829,0.879032,0.77
0.496,0.488,0.967742,0.4
0.809,0.505,0.959677,0.4
0.469,0.741,0.870968,0.23
0.35,0.904,0.83871,0.25
0.608,0.864,0.919355,0.13
0.07,0.978,0.758065,0.17
0.326,0.274,0.935484,0.25
0.191,0.965,0.959677,0.32
0.698,0.47,0.540323,0.58
0.532,0.833,0.669355,0.61
0.095,0.092,0.903226,0.29
0.63,0.382,0.556452,0.19
0.706,0.894,0.943548,0.49
0.302,0.226,0.862903,0.3
0.131,0.32,0.758065,0.6
0.108,0.989,0.887097,0.34
0.53,0.508,0.967742,0.72
0.19,0.779,0.717742,0.18
0.16,0.194,0.919355,0.29
0.144,0.986,0.951613,0.54
0.578,0.805,0.725806,0.46
0.634,0.634,0.766129,0.45
0.21,0.966,0.959677,0.26
0.421,0.893,0.91129,0.45
0.172,0.544,0.91129,0.28
0.637,0.825,0.951613,0.39
0.498,0.949,0.83871,0.48
0.095,0.995,0.927419,0.25
0.645,0.96,0.895161,0.53
0.394,0.377,0.951613,0.61
